'BS 1','BS 2','SF','HDOP',latitude,longitude
-49,-51,7,0.600000024,0,0
-49,-51,7,0.600000024,0,0
-49,-51,7,0.600000024,0,0
-49,-50,8,0.600000024,0,0
-50,-50,8,0.600000024,0,0
-52,-51,8,1.05,0,-1
-52,-51,8,1.05,0,-1
-52,-52,8,1.05,0,-1
-52,-52,7,1.05,0,-1
-51,-52,7,1.05,0,-1
-52,-52,7,0.800000012,0,-2.5
-52,-52,7,0.800000012,0,-2.5
-51,-52,7,0.800000012,0,-2.5
-50,-52,7,0.800000012,0,-2.5
-51,-52,7,0.800000012,0,-2.5
-55,-56,9,0.610000014,-1,-2.5
-55,-55,9,0.610000014,-1,-2.5
-55,-55,9,0.610000014,-1,-2.5
-56,-55,9,0.610000014,-1,-2.5
-56,-55,9,0.610000014,-1,-2.5
-56,-57,10,0.779999971,-2,-2.5
-58,-57,7,1.1,-2,-2.5
-58,-57,7,1.1,-2,-2.5
-58,-57,7,1.1,-2,-2.5
-59,-57,7,1.1,-2,-2.5
-58,-56,6,1.32,-3,-2.5
-57,-56,6,1.32,-3,-2.5
-58,-56,6,1.32,-3,-2.5
-59,-56,6,1.32,-3,-2.5
-59,-56,6,1.32,-3,-2.5
-59,-58,9,2.4367,-4,-2.5
-60,-58,9,2.4367,-4,-2.5
-60,-58,9,2.4367,-4,-2.5
-60,-58,9,2.4367,-4,-2.5
-60,-58,9,2.4367,-4,-2.5
-61,-60,11,0.7253111,-5,-2.5
-61,-61,11,0.7253111,-5,-2.5
-61,-61,11,0.7253111,-5,-2.5
-61,-61,11,0.7253111,-5,-2.5
-61,-61,11,0.7253111,-5,-2.5
-65,-60,10,3.7146,-6.5,-2.5
-65,-63,10,3.7146,-6.5,-2.5
-65,-63,10,3.7146,-6.5,-2.5
-65,-63,10,3.7146,-6.5,-2.5
-65,-63,10,3.7146,-6.5,-2.5
-71,-69,9,0.640000045,-7.5,-2.5
-71,-69,9,0.640000045,-7.5,-2.5
-71,-70,9,0.640000045,-7.5,-2.5
-71,-70,9,0.640000045,-7.5,-2.5
-71,-70,9,0.640000045,-7.5,-2.5
-75,-70,10,2.789,-9,-2.5
-76,-72,10,2.789,-9,-2.5
-76,-72,10,2.789,-9,-2.5
-76,-72,10,2.789,-9,-2.5
-76,-72,10,2.789,-9,-2.5
-79,-77,12,6.2465,-10,-2.5
-79,-77,12,6.2465,-10,-2.5
-79,-77,12,6.2465,-10,-2.5
-79,-77,12,6.2465,-10,-2.5
-79,-77,12,6.2465,-10,-2.5
-81,-79,7,4.5632,-11,-2.5
-83,-79,7,4.5632,-11,-2.5
-83,-79,7,4.5632,-11,-2.5
-81,-79,7,4.5632,-11,-2.5
-81,-79,7,4.5632,-11,-2.5
-79,-81,8,5.7253111,-12,-2.5
-79,-82,8,5.7253111,-12,-2.5
-81,-82,8,5.7253111,-12,-2.5
-81,-82,8,5.7253111,-12,-2.5
-82,-82,8,5.7253111,-12,-2.5
-82,-79,10,4.75234,-12,-1.5
-83,-79,10,4.75234,-12,-1.5
-83,-81,10,4.75234,-12,-1.5
-83,-81,10,4.75234,-12,-1.5
-83,-81,10,4.75234,-12,-1.5
-85,-82,9,7.6445634,-12,-0.5
-85,-82,9,7.6445634,-12,-0.5
-85,-82,9,7.6445634,-12,-0.5
-85,-82,9,7.6445634,-12,-0.5
-85,-82,9,7.6445634,-12,-0.5
-90,-88,7,9.6773,-12,1.5
-91,-87,7,9.6773,-12,1.5
-90,-89,7,9.6773,-12,1.5
-90,-89,7,9.6773,-12,1.5
-90,-89,7,9.6773,-12,1.5
-90,-92,8,5.7324234,-12,2.5
-90,-92,8,5.7324234,-12,2.5
-90,-92,8,5.7324234,-12,2.5
-90,-92,8,5.7324234,-12,2.5
-90,-92,8,5.7324234,-12,2.5
-91,-93,8,5.7324234,-12,4
-91,-94,8,5.7324234,-12,4
-91,-94,8,5.7324234,-12,4
-91,-94,8,5.7324234,-12,4
-91,-94,8,5.7324234,-12,4
-91,-95,8,5.7324234,-12,5
-92,-94,8,5.7324234,-12,5
-95,-94,8,5.7324234,-12,5
-95,-94,8,5.7324234,-12,5
-94,-94,8,5.7324234,-12,5
-95,-92,8,5.7324234,-12,6
-94,-93,8,5.7324234,-12,6
-95,-93,8,5.7324234,-12,6
-95,-93,8,5.7324234,-12,6
-95,-93,8,5.7324234,-12,6